[Tipo],[Moeda],[Empresa],[Vertical],[Stream],Agrupador,Periodo,Ano,[Valor]
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-04,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-05,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-06,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-07,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-08,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-09,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-10,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-11,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2024-12,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-01,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-02,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-03,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-04,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-05,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Financial expenses,2025-06,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-02,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-05,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-06,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-07,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-08,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-09,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-10,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-11,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2024-12,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-01,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-02,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-03,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-04,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-05,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-06,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-07,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),General and administrative expenses,2025-09,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-01,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-02,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-03,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-04,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-05,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-06,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-07,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-08,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-09,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-10,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-11,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2024-12,2024,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2025-01,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2025-02,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2025-03,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2025-04,2025,0.0
Actual,BRL,Dojo,Others,Data & AI (Dojo),Gross revenue,2025-05,2025,0.0
